Hair_Color,Region_Climate,Companion_Pet,Core_Value,Weapon,House
Auburn,Hot,Dragon,Power,Valyrian Steel,Targaryen
Blonde,Temperate,Lion,Honor,Axe,Lannister
Black,Cold,None,Knowledge,Spear,Stark
Silver,Temperate,Dragon,Loyalty,Valyrian Steel,Targaryen
Blonde,Temperate,Lion,Power,Dagger,Lannister
Red,Temperate,Lion,Wealth,Sword,Lannister
Black,Cold,Direwolf,Honor,Valyrian Steel,Stark
Brown,Cold,None,Honor,Bow,Stark
Auburn,Windy,Stag,Wealth,Warhammer,Baratheon
Black,Windy,Stag,Ambition,Bow,Baratheon
Blonde,Temperate,Lion,Wealth,Warhammer,Lannister
Blonde,Temperate,Stag,Power,Sword,Lannister
Blonde,Temperate,None,Wealth,Valyrian Steel,Lannister
Brown,Temperate,Direwolf,Power,Bow,Stark
Auburn,Hot,None,Wealth,Valyrian Steel,Lannister
Black,Cold,Cat,Loyalty,Warhammer,Baratheon
Brown,Cold,Direwolf,Honor,Warhammer,Stark
Silver,Hot,None,Power,Valyrian Steel,Targaryen
Blonde,Temperate,Lion,Loyalty,Dagger,Lannister
Auburn,Cold,Direwolf,Justice,Axe,Stark
Red,Cold,Direwolf,Honor,Dagger,Stark
Silver,Humid,Raven,Power,Dagger,Targaryen
Brown,Cold,Direwolf,Loyalty,Valyrian Steel,Stark
Brown,Temperate,None,Wealth,Spear,Lannister
Silver,Hot,Raven,Ambition,Valyrian Steel,Targaryen
Silver,Hot,Dragon,Power,Valyrian Steel,Targaryen
Silver,Hot,None,Power,Valyrian Steel,Targaryen
Blonde,Cold,None,Ambition,Dagger,Lannister
Auburn,Humid,Dragon,Loyalty,Valyrian Steel,Targaryen
Silver,Humid,None,Wealth,Sword,Lannister
Auburn,Temperate,None,Justice,Dagger,Baratheon
Silver,Temperate,Dragon,Ambition,Sword,Targaryen
Blonde,Temperate,None,Wealth,Axe,Lannister
Silver,Hot,Dragon,Power,Bow,Targaryen
Blonde,Humid,Lion,Power,Warhammer,Lannister
Brown,Cold,None,Honor,Bow,Stark
Red,Cold,Direwolf,Honor,Dagger,Stark
Auburn,Cold,Direwolf,Honor,Axe,Stark
Silver,Humid,Dragon,Knowledge,Valyrian Steel,Targaryen
Blonde,Temperate,Lion,Ambition,Valyrian Steel,Lannister
Blonde,Temperate,Lion,Honor,Sword,Lannister
Silver,Cold,Dragon,Power,Valyrian Steel,Targaryen
Black,Temperate,Direwolf,Loyalty,Sword,Stark
Black,Temperate,Raven,Ambition,Bow,Stark
Silver,Hot,None,Honor,Sword,Targaryen
Black,Cold,Direwolf,Wealth,Valyrian Steel,Stark
Black,Temperate,Stag,Loyalty,Axe,Baratheon
Silver,Hot,Dragon,Power,Valyrian Steel,Targaryen
Silver,Humid,Dragon,Justice,Valyrian Steel,Targaryen
Black,Temperate,Cat,Power,Bow,Lannister
Auburn,Windy,Direwolf,Honor,Sword,Stark
Auburn,Cold,Direwolf,Honor,Axe,Stark
Silver,Hot,Direwolf,Power,Valyrian Steel,Targaryen
Blonde,Windy,Stag,Wealth,Valyrian Steel,Baratheon
Blonde,Temperate,Lion,Wealth,Valyrian Steel,Lannister
Brown,Cold,Direwolf,Honor,Bow,Stark
Silver,Hot,Dragon,Ambition,Valyrian Steel,Targaryen
Silver,Cold,Dragon,Loyalty,Sword,Targaryen
Blonde,Temperate,None,Wealth,Sword,Lannister
Silver,Humid,Dragon,Power,Valyrian Steel,Targaryen
Silver,Hot,Dragon,Power,Sword,Targaryen
Black,Windy,Stag,Wealth,Dagger,Baratheon
Brown,Windy,Stag,Ambition,Warhammer,Baratheon
Silver,Cold,None,Justice,Sword,Stark
Auburn,Temperate,Dragon,Justice,Sword,Targaryen
Silver,Windy,None,Justice,Valyrian Steel,Targaryen
Auburn,Hot,Raven,Honor,Warhammer,Baratheon
Black,Cold,Direwolf,Honor,Dagger,Stark
Black,Cold,Cat,Honor,Axe,Stark
Blonde,Temperate,Direwolf,Justice,Sword,Baratheon
Black,Windy,Raven,Justice,Axe,Baratheon
Silver,Hot,Dragon,Justice,Valyrian Steel,Targaryen
Silver,Hot,Raven,Power,Sword,Targaryen
Blonde,Temperate,Lion,Wealth,Sword,Lannister
Black,Hot,Stag,Power,Valyrian Steel,Baratheon
Silver,Hot,None,Justice,Valyrian Steel,Targaryen
Silver,Windy,Dragon,Justice,Valyrian Steel,Targaryen
Silver,Hot,Dragon,Power,Bow,Targaryen
Silver,Temperate,None,Justice,Valyrian Steel,Targaryen
Black,Hot,Cat,Ambition,Bow,Baratheon
Black,Temperate,Stag,Loyalty,Warhammer,Baratheon
Auburn,Cold,Direwolf,Justice,Valyrian Steel,Stark
Brown,Windy,Stag,Honor,Spear,Baratheon
Blonde,Hot,Stag,Wealth,Bow,Lannister
Silver,Humid,Dragon,Knowledge,Valyrian Steel,Targaryen
Black,Windy,Stag,Power,Warhammer,Baratheon
Silver,Humid,None,Ambition,Valyrian Steel,Targaryen
Silver,Humid,Raven,Power,Valyrian Steel,Targaryen
Black,Windy,Stag,Power,Warhammer,Baratheon
Auburn,Temperate,Direwolf,Honor,Bow,Stark
Red,Humid,Dragon,Ambition,Valyrian Steel,Targaryen
Silver,Humid,Dragon,Justice,Dagger,Targaryen
Auburn,Temperate,None,Ambition,Sword,Targaryen
Blonde,Temperate,Cat,Wealth,Warhammer,Lannister
Auburn,Windy,None,Loyalty,Sword,Stark
Black,Cold,Dragon,Knowledge,Valyrian Steel,Targaryen
Silver,Hot,None,Power,Valyrian Steel,Targaryen
Brown,Cold,Direwolf,Honor,Spear,Stark
Silver,Windy,Dragon,Power,Valyrian Steel,Targaryen
Blonde,Temperate,Lion,Justice,Spear,Lannister
Black,Temperate,Direwolf,Ambition,Axe,Baratheon
Black,Windy,Stag,Justice,Warhammer,Baratheon
Brown,Humid,Dragon,Power,Sword,Targaryen
Blonde,Windy,Stag,Wealth,Sword,Baratheon
Silver,Hot,Dragon,Wealth,Valyrian Steel,Targaryen
Brown,Cold,Direwolf,Honor,Sword,Stark
Blonde,Temperate,Lion,Knowledge,Valyrian Steel,Lannister
Blonde,Hot,Dragon,Power,Valyrian Steel,Targaryen
Brown,Cold,Dragon,Knowledge,Sword,Stark
Blonde,Temperate,Lion,Honor,Sword,Lannister
Blonde,Temperate,Raven,Ambition,Sword,Lannister
Black,Cold,Dragon,Honor,Valyrian Steel,Stark
Brown,Cold,None,Loyalty,Warhammer,Stark
Brown,Temperate,None,Power,Valyrian Steel,Lannister
Blonde,Temperate,Raven,Wealth,Sword,Lannister
Black,Humid,Direwolf,Justice,Bow,Stark
Brown,Cold,Direwolf,Knowledge,Dagger,Stark
Red,Windy,Direwolf,Honor,Spear,Stark
Black,Cold,Direwolf,Ambition,Dagger,Stark
Silver,Hot,Dragon,Justice,Sword,Targaryen
Black,Humid,Cat,Knowledge,Warhammer,Baratheon
Black,Temperate,Stag,Justice,Bow,Baratheon
Silver,Humid,Dragon,Ambition,Valyrian Steel,Targaryen
Black,Windy,Direwolf,Ambition,Axe,Stark
Auburn,Cold,Direwolf,Honor,Axe,Stark
Black,Windy,Direwolf,Loyalty,Bow,Stark
Silver,Windy,Dragon,Power,Sword,Targaryen
Brown,Cold,Raven,Wealth,Sword,Stark
Silver,Temperate,Dragon,Honor,Valyrian Steel,Targaryen
Silver,Humid,Raven,Loyalty,Valyrian Steel,Targaryen
Black,Cold,Direwolf,Knowledge,Valyrian Steel,Stark
Black,Cold,None,Honor,Axe,Stark
Black,Windy,None,Honor,Valyrian Steel,Stark
Brown,Hot,Dragon,Knowledge,Valyrian Steel,Targaryen
Black,Cold,Dragon,Honor,Spear,Stark
Black,Windy,Stag,Justice,Bow,Baratheon
Brown,Windy,Cat,Knowledge,Valyrian Steel,Targaryen
Black,Cold,None,Ambition,Warhammer,Baratheon
Brown,Cold,Direwolf,Honor,Spear,Stark
Black,Windy,Stag,Justice,Warhammer,Baratheon
Silver,Humid,Dragon,Power,Valyrian Steel,Targaryen
Brown,Windy,Stag,Ambition,Sword,Baratheon
Black,Temperate,Lion,Wealth,Valyrian Steel,Lannister
Blonde,Temperate,Lion,Wealth,Sword,Lannister
Silver,Humid,Dragon,Power,Valyrian Steel,Targaryen
Blonde,Cold,Lion,Wealth,Spear,Lannister
Silver,Humid,Raven,Ambition,Valyrian Steel,Targaryen
Black,Temperate,Direwolf,Loyalty,Warhammer,Baratheon
Auburn,Cold,None,Honor,Sword,Stark
Blonde,Temperate,Lion,Ambition,Dagger,Lannister
Blonde,Hot,Lion,Wealth,Sword,Lannister
Brown,Cold,Direwolf,Loyalty,Sword,Stark
Silver,Windy,Dragon,Ambition,Valyrian Steel,Targaryen
Brown,Windy,Direwolf,Loyalty,Valyrian Steel,Stark
Black,Cold,Direwolf,Ambition,Valyrian Steel,Stark
Blonde,Hot,Lion,Ambition,Dagger,Lannister
Silver,Humid,Dragon,Loyalty,Bow,Targaryen
Brown,Hot,Dragon,Honor,Valyrian Steel,Targaryen
Silver,Hot,Dragon,Loyalty,Valyrian Steel,Targaryen
Black,Windy,Stag,Power,Warhammer,Baratheon
Red,Temperate,Dragon,Ambition,Valyrian Steel,Targaryen
Black,Cold,None,Honor,Bow,Stark
Black,Cold,Direwolf,Honor,Warhammer,Stark
Brown,Humid,Direwolf,Knowledge,Bow,Stark
Blonde,Windy,Raven,Power,Valyrian Steel,Lannister
Blonde,Temperate,None,Wealth,Valyrian Steel,Lannister
Brown,Cold,Direwolf,Loyalty,Bow,Stark
Silver,Windy,Dragon,Power,Bow,Targaryen
Red,Humid,Raven,Loyalty,Warhammer,Baratheon
Brown,Cold,Raven,Loyalty,Dagger,Stark
Black,Cold,Direwolf,Honor,Valyrian Steel,Stark
Silver,Hot,Dragon,Ambition,Valyrian Steel,Targaryen
Black,Windy,None,Power,Valyrian Steel,Baratheon
Auburn,Cold,None,Ambition,Warhammer,Stark
Silver,Temperate,Dragon,Power,Valyrian Steel,Targaryen
Red,Temperate,None,Wealth,Valyrian Steel,Lannister
Black,Windy,Cat,Wealth,Dagger,Baratheon
Blonde,Temperate,Lion,Honor,Sword,Lannister
Black,Windy,Stag,Power,Dagger,Baratheon
Blonde,Temperate,Lion,Power,Warhammer,Lannister
Black,Temperate,Direwolf,Honor,Valyrian Steel,Stark
Brown,Windy,Direwolf,Honor,Sword,Stark
Blonde,Temperate,Lion,Power,Valyrian Steel,Lannister
Blonde,Hot,Stag,Loyalty,Spear,Baratheon
Auburn,Cold,Direwolf,Honor,Bow,Stark
Brown,Windy,Direwolf,Power,Dagger,Baratheon
Black,Temperate,Direwolf,Knowledge,Sword,Stark
Black,Windy,Cat,Justice,Axe,Stark
Brown,Cold,Raven,Honor,Axe,Stark
Black,Temperate,Direwolf,Honor,Bow,Stark
Brown,Hot,None,Ambition,Bow,Lannister
Silver,Hot,None,Honor,Valyrian Steel,Targaryen
Blonde,Temperate,None,Power,Warhammer,Lannister
Brown,Cold,Stag,Knowledge,Spear,Stark
Black,Cold,Direwolf,Honor,Sword,Stark
Brown,Hot,Stag,Power,Warhammer,Baratheon
Silver,Temperate,Dragon,Ambition,Valyrian Steel,Targaryen
Black,Cold,None,Honor,Dagger,Stark
Silver,Hot,Dragon,Ambition,Valyrian Steel,Targaryen
Silver,Cold,None,Ambition,Dagger,Targaryen
Blonde,Windy,Cat,Ambition,Warhammer,Baratheon
Black,Humid,Direwolf,Honor,Bow,Stark
Blonde,Humid,Lion,Wealth,Sword,Lannister
Brown,Temperate,Raven,Justice,Warhammer,Baratheon
Black,Windy,Stag,Ambition,Warhammer,Baratheon
Silver,Temperate,Dragon,Justice,Valyrian Steel,Targaryen
Black,Cold,Lion,Loyalty,Sword,Stark
Brown,Hot,Cat,Power,Dagger,Lannister
Blonde,Temperate,None,Power,Valyrian Steel,Lannister
Blonde,Cold,Direwolf,Loyalty,Valyrian Steel,Stark
Black,Temperate,Direwolf,Knowledge,Dagger,Stark
Silver,Hot,Raven,Knowledge,Sword,Targaryen
Blonde,Humid,Dragon,Justice,Dagger,Targaryen
Blonde,Temperate,None,Justice,Axe,Lannister
Silver,Hot,Cat,Wealth,Spear,Lannister
Black,Humid,Dragon,Ambition,Sword,Targaryen
Silver,Humid,Dragon,Loyalty,Valyrian Steel,Targaryen
Silver,Humid,Raven,Power,Valyrian Steel,Targaryen
Blonde,Temperate,Lion,Ambition,Valyrian Steel,Lannister
Silver,Hot,Dragon,Power,Warhammer,Targaryen
Black,Cold,Stag,Justice,Valyrian Steel,Stark
Silver,Humid,Raven,Power,Warhammer,Targaryen
Black,Windy,Stag,Wealth,Axe,Baratheon
Black,Cold,None,Wealth,Dagger,Lannister
Auburn,Temperate,Lion,Ambition,Valyrian Steel,Lannister
Brown,Cold,Direwolf,Honor,Sword,Stark
Silver,Hot,Raven,Ambition,Bow,Targaryen
Silver,Humid,Lion,Justice,Sword,Targaryen
Black,Cold,Direwolf,Justice,Sword,Stark
Brown,Cold,Cat,Honor,Axe,Stark
Black,Humid,Direwolf,Knowledge,Bow,Stark
Auburn,Cold,Raven,Justice,Dagger,Lannister
Black,Humid,Stag,Ambition,Valyrian Steel,Baratheon
Brown,Cold,Direwolf,Power,Valyrian Steel,Stark
Silver,Temperate,Dragon,Power,Spear,Targaryen
Black,Humid,Stag,Justice,Warhammer,Baratheon
Brown,Cold,Direwolf,Wealth,Axe,Stark
Red,Hot,Direwolf,Power,Bow,Stark
Silver,Temperate,Dragon,Ambition,Valyrian Steel,Targaryen
Brown,Cold,Direwolf,Honor,Bow,Stark
Silver,Hot,None,Justice,Valyrian Steel,Targaryen
Blonde,Windy,Cat,Honor,Sword,Stark
Auburn,Temperate,Stag,Wealth,Warhammer,Lannister
Black,Windy,None,Power,Dagger,Baratheon
Brown,Temperate,Cat,Ambition,Spear,Lannister
Black,Temperate,Cat,Ambition,Axe,Baratheon
Red,Temperate,None,Wealth,Bow,Baratheon
Auburn,Cold,Direwolf,Wealth,Axe,Stark
Auburn,Temperate,Direwolf,Justice,Bow,Stark
Brown,Windy,Stag,Justice,Spear,Baratheon
Black,Cold,Direwolf,Loyalty,Valyrian Steel,Stark
Brown,Cold,Raven,Loyalty,Axe,Stark
Silver,Hot,None,Knowledge,Dagger,Targaryen
Brown,Temperate,Lion,Knowledge,Valyrian Steel,Lannister
Black,Cold,Direwolf,Wealth,Dagger,Stark
Silver,Hot,None,Knowledge,Valyrian Steel,Targaryen
Silver,Humid,Dragon,Ambition,Sword,Targaryen
Auburn,Cold,Raven,Honor,Spear,Stark
Silver,Hot,Dragon,Honor,Dagger,Targaryen
Auburn,Humid,Raven,Ambition,Valyrian Steel,Targaryen
Auburn,Cold,Direwolf,Honor,Axe,Stark
Brown,Temperate,Lion,Justice,Sword,Lannister
Blonde,Hot,None,Wealth,Valyrian Steel,Lannister
Auburn,Hot,None,Honor,Valyrian Steel,Lannister
Silver,Humid,Dragon,Justice,Sword,Targaryen
Silver,Temperate,Dragon,Honor,Valyrian Steel,Targaryen
Blonde,Temperate,Lion,Loyalty,Sword,Lannister
Auburn,Windy,Stag,Justice,Bow,Baratheon
Black,Temperate,Direwolf,Knowledge,Valyrian Steel,Stark
Black,Cold,Raven,Loyalty,Sword,Baratheon
Auburn,Cold,Raven,Ambition,Axe,Stark
Blonde,Temperate,Lion,Ambition,Warhammer,Lannister
Black,Windy,Stag,Loyalty,Warhammer,Baratheon
Brown,Cold,Direwolf,Power,Spear,Stark
Blonde,Windy,Stag,Loyalty,Sword,Baratheon
Black,Cold,Direwolf,Honor,Sword,Stark
Black,Humid,Stag,Loyalty,Axe,Baratheon
Brown,Cold,Direwolf,Honor,Sword,Stark
Black,Temperate,Direwolf,Knowledge,Bow,Stark
Black,Cold,Stag,Wealth,Axe,Baratheon
Brown,Temperate,Raven,Justice,Sword,Lannister
Black,Cold,Direwolf,Justice,Dagger,Stark
Silver,Humid,None,Ambition,Sword,Targaryen
Silver,Hot,Dragon,Ambition,Valyrian Steel,Targaryen
Black,Cold,Direwolf,Honor,Bow,Stark
Silver,Temperate,Dragon,Justice,Valyrian Steel,Targaryen
Silver,Hot,Direwolf,Ambition,Valyrian Steel,Targaryen
Auburn,Humid,Dragon,Justice,Sword,Targaryen
Blonde,Cold,Lion,Wealth,Dagger,Lannister
Blonde,Temperate,Dragon,Power,Valyrian Steel,Targaryen
Brown,Humid,Dragon,Ambition,Spear,Targaryen
Brown,Temperate,None,Ambition,Valyrian Steel,Lannister
Black,Hot,Stag,Power,Warhammer,Baratheon
Silver,Hot,Dragon,Power,Bow,Targaryen
Black,Temperate,Direwolf,Loyalty,Warhammer,Baratheon
Blonde,Temperate,Lion,Power,Warhammer,Lannister
Blonde,Windy,Lion,Knowledge,Sword,Lannister
Black,Temperate,None,Wealth,Sword,Lannister
Black,Cold,Direwolf,Loyalty,Axe,Stark
Auburn,Temperate,None,Wealth,Valyrian Steel,Lannister
Silver,Windy,Dragon,Justice,Dagger,Targaryen
Blonde,Temperate,Lion,Power,Dagger,Lannister
Brown,Hot,Dragon,Power,Axe,Targaryen
Black,Cold,None,Knowledge,Bow,Stark
Silver,Hot,Dragon,Knowledge,Warhammer,Targaryen
Auburn,Windy,Stag,Loyalty,Bow,Baratheon
Black,Temperate,Cat,Wealth,Valyrian Steel,Lannister
Brown,Humid,None,Wealth,Warhammer,Baratheon
Brown,Cold,None,Justice,Sword,Stark
Red,Temperate,None,Power,Spear,Lannister
Blonde,Hot,Lion,Power,Dagger,Lannister
Brown,Windy,Dragon,Ambition,Valyrian Steel,Targaryen
Red,Hot,Dragon,Ambition,Warhammer,Targaryen
Auburn,Cold,None,Power,Dagger,Baratheon
Auburn,Cold,Dragon,Ambition,Valyrian Steel,Targaryen
Silver,Hot,Dragon,Ambition,Spear,Targaryen
Red,Cold,None,Loyalty,Warhammer,Stark
Black,Hot,None,Loyalty,Sword,Lannister
Silver,Humid,Raven,Ambition,Valyrian Steel,Targaryen
Silver,Cold,Direwolf,Honor,Sword,Stark
Blonde,Hot,None,Wealth,Valyrian Steel,Lannister
Blonde,Temperate,Cat,Ambition,Valyrian Steel,Lannister
Black,Cold,Direwolf,Honor,Bow,Stark
Red,Humid,None,Power,Dagger,Baratheon
Brown,Windy,Direwolf,Honor,Spear,Stark
Auburn,Cold,Direwolf,Knowledge,Axe,Stark
Brown,Cold,Lion,Loyalty,Warhammer,Stark
Silver,Temperate,Raven,Power,Valyrian Steel,Targaryen
Blonde,Temperate,Lion,Loyalty,Bow,Lannister
Brown,Cold,Direwolf,Loyalty,Sword,Stark
Black,Temperate,Cat,Power,Sword,Baratheon
Blonde,Hot,Lion,Ambition,Valyrian Steel,Lannister
Auburn,Temperate,None,Wealth,Valyrian Steel,Lannister
Blonde,Temperate,Raven,Honor,Sword,Lannister
Silver,Windy,Raven,Justice,Valyrian Steel,Targaryen
Blonde,Hot,Raven,Wealth,Axe,Lannister
Black,Humid,Stag,Power,Axe,Baratheon
Blonde,Hot,Lion,Ambition,Valyrian Steel,Lannister
Brown,Cold,None,Honor,Spear,Stark
Silver,Temperate,Lion,Ambition,Dagger,Targaryen
Silver,Humid,Dragon,Justice,Spear,Targaryen
Blonde,Temperate,Cat,Wealth,Valyrian Steel,Lannister
Black,Cold,Direwolf,Honor,Bow,Stark
Blonde,Temperate,Cat,Honor,Dagger,Lannister
Black,Windy,Stag,Ambition,Warhammer,Baratheon
Red,Temperate,Direwolf,Ambition,Valyrian Steel,Lannister
Black,Cold,Direwolf,Loyalty,Axe,Stark
Blonde,Cold,Lion,Power,Valyrian Steel,Lannister
Black,Windy,Raven,Ambition,Dagger,Baratheon
Blonde,Temperate,Lion,Wealth,Dagger,Lannister
Silver,Temperate,None,Justice,Valyrian Steel,Targaryen
Black,Windy,Lion,Power,Bow,Baratheon
Black,Cold,Cat,Knowledge,Sword,Stark
Silver,Hot,Stag,Power,Axe,Baratheon
Black,Humid,None,Ambition,Sword,Baratheon
Black,Cold,Direwolf,Honor,Valyrian Steel,Stark
Blonde,Temperate,Raven,Wealth,Bow,Lannister
Black,Humid,Stag,Honor,Bow,Baratheon
Blonde,Cold,None,Justice,Valyrian Steel,Lannister
Black,Windy,Stag,Justice,Valyrian Steel,Baratheon
Red,Hot,Dragon,Power,Valyrian Steel,Targaryen
Brown,Windy,Direwolf,Loyalty,Valyrian Steel,Stark
Red,Humid,None,Ambition,Bow,Baratheon
Blonde,Temperate,Raven,Power,Sword,Lannister
Silver,Hot,Direwolf,Honor,Dagger,Targaryen
Black,Windy,Stag,Power,Warhammer,Baratheon
Silver,Hot,Dragon,Knowledge,Valyrian Steel,Targaryen
Black,Cold,None,Justice,Sword,Stark
Silver,Hot,Raven,Justice,Valyrian Steel,Targaryen
Silver,Humid,Dragon,Loyalty,Dagger,Targaryen
Silver,Temperate,None,Power,Valyrian Steel,Targaryen
Black,Cold,Direwolf,Ambition,Bow,Stark
Blonde,Humid,Stag,Loyalty,Warhammer,Baratheon
Blonde,Hot,None,Ambition,Spear,Lannister
Silver,Hot,Dragon,Loyalty,Bow,Targaryen
Brown,Temperate,Lion,Wealth,Valyrian Steel,Lannister
Blonde,Hot,None,Wealth,Valyrian Steel,Lannister
Silver,Temperate,None,Knowledge,Spear,Targaryen
Black,Temperate,None,Honor,Spear,Lannister
Blonde,Windy,Lion,Wealth,Bow,Lannister
Black,Temperate,None,Honor,Spear,Stark
Brown,Hot,Dragon,Power,Valyrian Steel,Targaryen
Black,Hot,None,Ambition,Valyrian Steel,Baratheon
Silver,Hot,Stag,Wealth,Valyrian Steel,Targaryen
Silver,Humid,Dragon,Justice,Sword,Targaryen
Brown,Cold,Lion,Loyalty,Sword,Stark
Blonde,Temperate,None,Ambition,Valyrian Steel,Lannister
Silver,Windy,Cat,Ambition,Valyrian Steel,Targaryen
Brown,Cold,Direwolf,Honor,Valyrian Steel,Stark
Brown,Windy,Stag,Justice,Dagger,Baratheon
Blonde,Hot,Raven,Wealth,Sword,Lannister
Black,Windy,None,Power,Bow,Baratheon
